Year,SERIES,UNIT_MEASURE,Pol,Starost,Value
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Žene,Broj djece,114.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Žene,Broj djece,104.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Žene,Broj djece,109.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,285.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,285.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,217.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,217.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,237.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,220.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,201.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,233.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,186.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,152.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,123.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,123.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,55.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,58.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,67.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,102.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,100.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,69.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,66.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,63.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,163.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,163.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,162.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,159.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,170.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,118.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,101.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,164.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,120.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,89.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Oba pola ili bez podjele po polu,Broj djece,15.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Oba pola ili bez podjele po polu,Broj djece,15.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Oba pola ili bez podjele po polu,Broj djece,7.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Oba pola ili bez podjele po polu,Broj djece,6.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Oba pola ili bez podjele po polu,Broj djece,5.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Oba pola ili bez podjele po polu,Broj djece,17.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Oba pola ili bez podjele po polu,Broj djece,1.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Oba pola ili bez podjele po polu,Broj djece,1.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Oba pola ili bez podjele po polu,Broj djece,0.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Oba pola ili bez podjele po polu,Broj djece,0.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Muškarci,Broj djece,11.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Muškarci,Broj djece,11.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Muškarci,Broj djece,5.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Muškarci,Broj djece,2.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Muškarci,Broj djece,2.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Muškarci,Broj djece,5.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Muškarci,Broj djece,0.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Muškarci,Broj djece,0.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Muškarci,Broj djece,0.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Muškarci,Broj djece,0.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Žene,Broj djece,4.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Žene,Broj djece,4.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Žene,Broj djece,2.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Žene,Broj djece,4.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Žene,Broj djece,3.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Žene,Broj djece,12.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Žene,Broj djece,1.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Žene,Broj djece,1.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Žene,Broj djece,0.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na pomoć u kući,Broj,Žene,Broj djece,0.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,70.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,70.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,230.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,178.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,209.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,286.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,312.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,395.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,335.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,433.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,39.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,39.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,120.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,105.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,128.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,163.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,180.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,209.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,157.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,255.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,31.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,31.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,110.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,73.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,81.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,123.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,132.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,186.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,178.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,178.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Oba pola ili bez podjele po polu,Broj djece,52.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Oba pola ili bez podjele po polu,Broj djece,52.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Oba pola ili bez podjele po polu,Broj djece,143.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Oba pola ili bez podjele po polu,Broj djece,137.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Oba pola ili bez podjele po polu,Broj djece,125.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Oba pola ili bez podjele po polu,Broj djece,157.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Oba pola ili bez podjele po polu,Broj djece,107.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Oba pola ili bez podjele po polu,Broj djece,127.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Oba pola ili bez podjele po polu,Broj djece,161.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Oba pola ili bez podjele po polu,Broj djece,192.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Muškarci,Broj djece,27.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Muškarci,Broj djece,27.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Muškarci,Broj djece,81.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Muškarci,Broj djece,77.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Muškarci,Broj djece,72.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Muškarci,Broj djece,83.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Muškarci,Broj djece,62.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Muškarci,Broj djece,65.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Muškarci,Broj djece,85.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Muškarci,Broj djece,137.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Žene,Broj djece,25.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Žene,Broj djece,25.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Žene,Broj djece,62.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Žene,Broj djece,60.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Žene,Broj djece,53.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Žene,Broj djece,74.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Žene,Broj djece,45.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Žene,Broj djece,62.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Žene,Broj djece,76.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na dnevno zbrinjavanje,Broj,Žene,Broj djece,55.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,11586.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,11586.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,11413.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,11105.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,11301.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,10481.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,11418.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,9732.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,9735.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,9152.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,5566.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,5566.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,5516.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,5480.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,5534.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,5020.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,5340.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,4726.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,4787.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,4360.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,6020.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,6020.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,5897.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,5625.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,5767.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,5461.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,6078.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,5006.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,4948.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,4792.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Oba pola ili bez podjele po polu,Broj djece,1836.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Oba pola ili bez podjele po polu,Broj djece,1836.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Oba pola ili bez podjele po polu,Broj djece,1172.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Oba pola ili bez podjele po polu,Broj djece,657.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Oba pola ili bez podjele po polu,Broj djece,752.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Oba pola ili bez podjele po polu,Broj djece,783.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Oba pola ili bez podjele po polu,Broj djece,625.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Oba pola ili bez podjele po polu,Broj djece,643.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Oba pola ili bez podjele po polu,Broj djece,560.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Oba pola ili bez podjele po polu,Broj djece,575.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Muškarci,Broj djece,839.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Muškarci,Broj djece,839.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Muškarci,Broj djece,534.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Muškarci,Broj djece,319.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Muškarci,Broj djece,395.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Muškarci,Broj djece,357.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Muškarci,Broj djece,289.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Muškarci,Broj djece,373.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Muškarci,Broj djece,268.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Muškarci,Broj djece,293.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Žene,Broj djece,997.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Žene,Broj djece,997.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Žene,Broj djece,638.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Žene,Broj djece,338.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Žene,Broj djece,357.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Žene,Broj djece,426.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Žene,Broj djece,336.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Žene,Broj djece,270.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Žene,Broj djece,292.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na jednokratnu novčanu pomoć,Broj,Žene,Broj djece,282.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na ličnu invalidninu,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,4192.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na ličnu invalidninu,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,4944.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na ličnu invalidninu,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,6278.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na ličnu invalidninu,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,6727.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na ličnu invalidninu,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,2233.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na ličnu invalidninu,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,2843.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na ličnu invalidninu,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,3665.0
